0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/sushi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/thai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/mediterranean.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:28 -0600] "GET /restaurants/imgs/indian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:29 -0600] "GET /restaurants/editRestaurants.do HTTP/1.1" 200 21583
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:32 -0600] "GET /restaurants/editRestaurant.do?id=1 HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:38 -0600] "POST /restaurants/updateRestaurant.do HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:40 -0600] "GET /restaurants/listRestaurants.do HTTP/1.1" 200 11136
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:43 -0600] "GET /restaurants/editRestaurants.do HTTP/1.1" 200 21571
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:44 -0600] "POST /restaurants/deleteRestaurant.do HTTP/1.1" 200 21204
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:46 -0600] "GET /restaurants/newRestaurant.do HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:47 -0600] "GET /restaurants/listRestaurants.do HTTP/1.1" 200 10964
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:48 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:49 -0600] "GET /restaurants/getCuisine.do?cuisine=Mexican HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:50 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:51 -0600] "GET /restaurants/getCuisine.do?cuisine=Indian HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:52 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:52 -0600] "GET /restaurants/getCuisine.do?cuisine=Sushi HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:53 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:53 -0600] "GET /restaurants/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:53 -0600] "GET /restaurants/css/app.css HTTP/1.1" 304 -
